animal_id,intake_date_time,intake_type,animal_type,age,gender,outcome_date_time,days_in_shelter,outcome_month,outcome_year,age_group,breed,is_mix_breed,colour,is_multicolour,is_black,is_white,is_brown,is_yellow,is_gray,outcome_type
64070,2019-07-22 13:34:00,stray,cat,3,male,2019-08-12,20,8,2019,adolescent,domestic short hair,no,grey and white,no,no,yes,no,no,no,adoption
64071,2019-07-22 13:54:00,stray,dog,3,female,2019-08-01,9,8,2019,adolescent,hound/mix,yes,red,no,no,no,yes,no,no,adoption
64073,2019-07-22 16:13:00,litter relinquishment,cat,4,female,2019-10-17,86,10,2019,adulthood,domestic short hair,no,grey,no,no,no,no,no,no,adoption
64074,2019-07-22 16:13:00,litter relinquishment,cat,2,female,2019-09-23,62,9,2019,adolescent,domestic short hair,no,dilute tortoiseshell,no,no,no,no,no,no,adoption
64075,2019-07-22 16:13:00,litter relinquishment,cat,2,female,2019-09-22,61,9,2019,adolescent,domestic short hair,no,dilute tortoiseshell,no,no,no,no,no,no,adoption
64076,2019-07-22 16:13:00,litter relinquishment,cat,2,male,2019-09-27,66,9,2019,adolescent,domestic short hair,no,grey,no,no,no,no,no,no,adoption
64077,2019-07-22 16:14:00,litter relinquishment,cat,3,female,2019-08-08,16,8,2019,adolescent,domestic short hair,no,dilute tortoiseshell,no,no,no,no,no,no,adoption
64078,2019-07-22 23:52:00,police assist,dog,3,male,2019-07-25,2,7,2019,adolescent,bully breed,yes,brown and white,no,no,yes,yes,no,no,reclaimed
64080,2019-07-23 09:40:00,stray,cat,4,female,2019-08-02,9,8,2019,adulthood,manx,no,black and white,no,yes,yes,no,no,no,adoption
64081,2019-07-23 12:06:00,rabies monitoring,dog,5,male,2019-08-03,10,8,2019,adulthood,bully breed,yes,white and black,no,yes,yes,no,no,no,reclaimed
64082,2019-07-23 12:31:00,unable to afford,cat,7,female,2019-08-17,24,8,2019,adulthood,domestic short hair,no,torbie,yes,no,no,no,no,no,adoption
64083,2019-07-23 12:35:00,unable to afford,cat,7,female,2019-08-01,8,8,2019,adulthood,domestic short hair,no,torbie,yes,no,no,no,no,no,adoption
64084,2019-07-23 12:36:00,stray,cat,2,male,2019-08-23,30,8,2019,adolescent,domestic short hair,no,orange and white,no,no,yes,no,no,no,adoption
64085,2019-07-23 13:03:00,litter relinquishment,cat,2,female,2019-08-01,8,8,2019,adolescent,domestic long hair,no,black,no,yes,no,no,no,no,adoption
64086,2019-07-23 13:03:00,litter relinquishment,cat,2,male,2019-08-02,9,8,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64087,2019-07-23 13:03:00,litter relinquishment,cat,2,female,2019-08-02,9,8,2019,adolescent,domestic long hair,no,black,no,yes,no,no,no,no,adoption
64088,2019-07-23 13:03:00,litter relinquishment,cat,2,male,2019-08-02,9,8,2019,adolescent,domestic medium hair,no,black,no,yes,no,no,no,no,adoption
64089,2019-07-23 13:40:00,moving,cat,4,female,2019-10-12,80,10,2019,adulthood,domestic short hair,no,brown and black,no,yes,no,yes,no,no,adoption
64090,2019-07-23 13:40:00,moving,cat,2,female,2019-08-31,38,8,2019,adolescent,domestic short hair,no,torbie,yes,no,no,no,no,no,adoption
64091,2019-07-23 14:22:00,unable to afford,cat,2,male,2019-08-31,38,8,2019,adolescent,domestic short hair,no,orange and white,no,no,yes,no,no,no,adoption
64093,2019-07-23 16:02:00,unsuitable accommodation,cat,3,female,2019-08-30,37,8,2019,adolescent,domestic medium hair,no,black and white,no,yes,yes,no,no,no,adoption
64094,2019-07-23 16:02:00,unsuitable accommodation,cat,3,female,2020-06-30,342,6,2020,adolescent,domestic short hair,no,torbie,yes,no,no,no,no,no,adoption
64095,2019-07-23 16:02:00,unsuitable accommodation,cat,3,female,2019-08-24,31,8,2019,adolescent,domestic short hair,no,tabbico,no,no,no,no,no,no,adoption
64096,2019-07-23 16:14:00,stray,cat,3,female,2019-08-02,9,8,2019,adolescent,domestic short hair,no,dilute tortoiseshell,no,no,no,no,no,no,adoption
64097,2019-07-23 16:37:00,stray,cat,4,female,2019-07-24,0,7,2019,adulthood,domestic short hair,no,tortoiseshell,no,no,no,no,no,no,reclaimed
64098,2019-07-23 17:01:00,unsuitable accommodation,cat,2,male,2019-09-06,44,9,2019,adolescent,domestic short hair,no,orange and white,no,no,yes,no,no,no,adoption
64099,2019-07-23 17:01:00,unsuitable accommodation,cat,3,male,2019-09-04,42,9,2019,adolescent,domestic short hair,no,black and white,no,yes,yes,no,no,no,adoption
64101,2019-07-23 18:08:00,litter relinquishment,dog,2,male,2019-07-31,7,7,2019,adolescent,fox terrier,yes,blue,no,no,no,no,no,yes,adoption
64102,2019-07-23 18:08:00,litter relinquishment,dog,2,male,2019-08-01,8,8,2019,adolescent,fox terrier,yes,red merle,yes,no,no,yes,no,no,adoption
64103,2019-07-23 18:08:00,litter relinquishment,dog,2,male,2019-07-30,6,7,2019,adolescent,fox terrier,yes,blue,no,no,no,no,no,yes,adoption
64105,2019-07-23 18:08:00,litter relinquishment,dog,3,female,2019-07-30,6,7,2019,adolescent,fox terrier,no,black and white,no,yes,yes,no,no,no,adoption
64106,2019-07-24 11:35:00,unsuitable accommodation,cat,3,female,2019-07-25,0,7,2019,adolescent,domestic short hair,no,tortoiseshell,no,no,no,no,no,no,transfer
64107,2019-07-24 11:35:00,unsuitable accommodation,cat,3,male,2019-07-25,0,7,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,transfer
64108,2019-07-24 12:35:00,stray,dog,2,male,2019-07-31,6,7,2019,adolescent,shep,yes,brown,no,no,no,yes,no,no,adoption
64113,2019-07-25 12:42:00,stray,cat,5,male,2019-08-17,22,8,2019,adulthood,domestic short hair,no,buff,no,no,no,no,yes,no,adoption
64115,2019-07-25 12:57:00,stray,cat,4,female,2019-10-05,71,10,2019,adulthood,domestic medium hair,no,black,no,yes,no,no,no,no,adoption
